Feijenoord;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;Noordereiland;23;16;32;52;60;6,6;4,7;9,7;16,5;18,4
;;Feijenoord;868;729;942;904;665;12,3;10,5;13,7;13,2;9,5
;;Rotterdam;9249;8086;9744;8917;7615;15,8;13,9;16,8;15,3;12,8

;;1.2.2 aangiften diefstal van motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;13;21;30;23;24;1,7;2,8;3,9;3;3,1
;;Vreewijk;43;37;34;37;27;3,1;2,7;2,5;2,7;2
;;Bloemhof;33;20;22;35;20;2,5;1,5;1,7;2,6;1,5
;;Hillesluis;28;17;18;29;12;2,5;1,6;1,7;2,7;1,1
;;Katendrecht;11;10;7;11;3;2,8;2,7;1,9;3;0,7
;;Afrikaanderwijk;22;31;15;22;12;2,3;3,3;1,6;2,4;1,3
;;Feijenoord;17;16;35;30;15;2,2;2,1;4,7;4,1;2
;;Noordereiland;16;7;6;10;9;4,6;2,1;1,8;3,2;2,8
;;Feijenoord;183;159;167;197;122;2,6;2,3;2,4;2,9;1,7
;;Rotterdam;1679;1423;1323;1411;1173;2,9;2,4;2,3;2,4;2

;;1.2.3 aangiften diefstal van brom-, snor-, fietsen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;21;40;71;43;44;2,8;5,3;9,3;5,7;5,7
;;Vreewijk;94;95;137;124;92;6,7;6,9;10;9,1;6,8
;;Bloemhof;39;40;28;43;47;2,9;3,1;2,1;3,2;3,4
;;Hillesluis;42;30;25;30;42;3,7;2,7;2,3;2,8;3,8
;;Katendrecht;14;15;10;9;26;3,6;4,1;2,7;2,5;6,1
;;Afrikaanderwijk;28;32;44;25;32;3;3,4;4,7;2,7;3,6
;;Feijenoord;11;13;11;8;9;1,4;1,7;1,5;1,1;1,2
;;Noordereiland;10;10;11;12;11;2,9;2,9;3,4;3,8;3,4
;;Feijenoord;259;275;337;294;303;3,7;4;4,9;4,3;4,3
;;Rotterdam;3983;3982;4927;4108;4438;6,8;6,8;8,5;7;7,5

;;1.2.4 aangiften zakkenrollerij;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;9;17;19;25;15;1,2;2,3;2,5;3,3;1,9
;;Vreewijk;15;10;17;8;20;1,1;0,7;1,2;0,6;1,5
;;Bloemhof;14;11;6;18;13;1,1;0,8;0,5;1,3;0,9
;;Hillesluis;38;42;38;52;31;3,3;3,8;3,6;4,9;2,8
;;Katendrecht;21;16;10;7;8;5,4;4,3;2,7;1,9;1,9
;;Afrikaanderwijk;175;228;191;118;81;18,6;24,4;20,5;12,9;9,1
;;Feijenoord;10;0;7;4;3;1,3;0;0,9;0,6;0,4
;;Noordereiland;0;1;2;3;2;0;0,3;0,6;0,9;0,6
;;Feijenoord;282;325;290;235;173;4;4,7;4,2;3,4;2,5
;;Rotterdam;2456;2570;2564;1996;2138;4,2;4,4;4,4;3,4;3,6

;;1.2.5 aangiften diefstal af/uit/van overige voertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;7;8;6;14;9;0,9;1,1;0,8;1,9;1,2
;;Vreewijk;23;27;23;28;4;1,6;2;1,7;2,1;0,3
;;Bloemhof;17;17;17;8;11;1,3;1,3;1,3;0,6;0,8
;;Hillesluis;9;14;15;12;11;0,8;1,3;1,4;1,1;1
;;Katendrecht;5;6;7;8;2;1,3;1,6;1,9;2,2;0,5
;;Afrikaanderwijk;13;12;10;8;12;1,4;1,3;1,1;0,9;1,3
;;Feijenoord;2;4;5;5;6;0,3;0,5;0,7;0,7;0,8
;;Noordereiland;1;0;2;4;3;0,3;0;0,6;1,3;0,9
;;Feijenoord;77;88;85;87;58;1,1;1,3;1,2;1,3;0,8
;;Rotterdam;682;850;834;780;729;1,2;1,5;1,4;1,3;1,2

;;2.5.2 aangiften winkeldiefstal;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;15;16;11;15;9;333,3;254;164,2;230,8;140,6
;;Vreewijk;1;2;1;3;0;14,7;23;11,4;34,9;0
;;Bloemhof;13;14;16;10;3;100;103,7;128;80;25,2
;;Hillesluis;36;53;39;33;19;213;304,6;222,9;187,5;124,2
;;Katendrecht;7;9;11;4;0;318,2;290,3;366,7;137,9;0
;;Afrikaanderwijk;8;8;6;9;3;97,6;82,5;69;104,7;40
;;Feijenoord;0;0;0;0;0;0;0;0;0;0
;;Noordereiland;1;2;0;1;1;37;46,5;0;23,8;27
;;Feijenoord;81;104;84;75;35;141,9;157,3;130,8;117,7;60,7
;;Rotterdam;1377;1227;1004;1050;775;263,1;178,9;147,7;156,6;122

;;1.6.2 aangiften overige vermogensdelicten;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;21;52;66;66;87;2,8;6,9;8,6;8,7;11,2
;;Vreewijk;121;120;138;135;197;8,6;8,7;10;9,9;14,5
;;Bloemhof;84;97;88;85;98;6,4;7,4;6,7;6,3;7,1
;;Hillesluis;111;87;92;110;119;9,8;7,9;8,6;10,3;10,7
;;Katendrecht;33;30;26;37;36;8,5;8,1;7,1;10,1;8,5
;;Afrikaanderwijk;105;85;92;78;88;11,1;9,1;9,9;8,6;9,9
;;Feijenoord;36;36;36;40;41;4,7;4,8;4,9;5,5;5,6
;;Noordereiland;10;14;18;10;24;2,9;4,1;5,5;3,2;7,4
;;Feijenoord;521;521;556;561;690;7,4;7,5;8,1;8,2;9,9
;;Rotterdam;6743;6410;6346;6196;7209;11,5;11;10,9;10,6;12,1

Drugsoverlast;;;;;;;;;;;;

;;buurtprobleem drugsoverlast;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Kop van Zuid Entrepot;7,4;5,1;9,8;6,3;7,5;
;;Vreewijk;8,5;2,7;5,7;6,5;10,2;
;;Bloemhof;18,1;16,7;24,6;20,2;23,2;
;;Hillesluis;18;17;20,8;23,7;19,9;
;;Katendrecht;10,8;4,6;8,6;4,3;5,3;
;;Afrikaanderwijk;24,8;11,8;21,4;21,4;17,4;
;;Feijenoord;4,5;7,8;16;17,9;16,8;
;;Noordereiland;5,5;2,2;9,3;7,1;12,8;
;;Feijenoord;13,4;9,7;16,4;15,1;15,4;
;;Rotterdam;8,2;6,7;9,9;10,2;10,1;

;;2.1.1 meldingen drugsoverlast;;;;;;
;;;absoluut;;;;;genormaliseerd
;;% vaak;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;8;11;6;12;5;1,1;1,5;0,8;1,6;0,6
;;Vreewijk;31;25;25;20;11;2,2;1,8;1,8;1,5;0,8
;;Bloemhof;34;36;44;24;18;2,6;2,8;3,3;1,8;1,3
;;Hillesluis;24;35;34;24;22;2,1;3,2;3,2;2,3;2
;;Katendrecht;3;0;4;2;3;0,8;0;1,1;0,5;0,7
;;Afrikaanderwijk;27;19;16;6;4;2,9;2;1,7;0,7;0,4
;;Feijenoord;4;9;6;8;5;0,5;1,2;0,8;1,1;0,7
;;Noordereiland;3;2;3;10;8;0,9;0,6;0,9;3,2;2,5
;;Feijenoord;134;137;138;106;76;1,9;2;2;1,5;1,1
;;Rotterdam;1242;1135;1071;1022;726;2,1;2;1,8;1,7;1,2

Geweld;;;;;;;;;;;;

;;buurtprobleem bedreiging;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Kop van Zuid Entrepot;1,8;2,5;7;3,7;9,3
;;Vreewijk;2,4;3,3;2,6;3;6
;;Bloemhof;5,8;7,8;7,8;8,7;12,7
;;Hillesluis;5,5;5,7;12;9,1;8,6
;;Katendrecht;10;7,3;10,2;9,1;4,2
;;Afrikaanderwijk;1,9;6,7;8,8;12,8;6,9
;;Feijenoord;3,5;2,1;7,8;8,2;10,4
;;Noordereiland;2,3;0,7;3,2;1,2;4,3
;;Feijenoord;3,9;4,8;7,4;7,5;8,5
;;Rotterdam;3,3;3,1;4,5;4,8;5,8

;;buurtprobleem geweldsdelicten;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;2,1;3,8;6,1;3,3;6,3
;;Vreewijk;6;2,7;2,2;3,3;3,4
;;Bloemhof;6,2;6,2;6,4;9,5;11,8
;;Hillesluis;7,6;7,4;11,7;11,4;10
;;Katendrecht;17;12,5;14,6;5,1;6,6
;;Afrikaanderwijk;5,5;4,3;8,8;8,8;5,6
;;Feijenoord;3,5;9;9,3;11,4;11,2
;;Noordereiland;1,2;1,4;3;1,1;2,6
;;Feijenoord;5,9;5,6;7,4;7,1;7,7
;;Rotterdam;3,9;3,7;4,6;4,7;5,9

;;buurtprobleem tasjesroof;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;1,7;2;4,1;2,6;5,5
;;Vreewijk;3,2;1,7;2,7;1,9;2,9
;;Bloemhof;4,6;5;4,9;6,4;7,1
;;Hillesluis;4,1;8,5;7,4;6,2;6,2
;;Katendrecht;3,9;2;7,7;3,1;4,3
;;Afrikaanderwijk;5,3;7,4;7,2;7;6,4
;;Feijenoord;3;2;3,3;4,2;6,7
;;Noordereiland;1,7;0,7;1,5;2,1;1,9
;;Feijenoord;3,7;4,2;5;4,7;5,4
;;Rotterdam;3,2;2,8;3,4;3;3,4

;;slachtofferschap tasjesroof met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;0,5;1,3;0;0,3;0
;;Vreewijk;0,4;1,1;0;0,3;0,2
;;Bloemhof;1;1,1;0;0,7;0,7
;;Hillesluis;0;0,6;0;1,1;0
;;Katendrecht;1,7;0;1,5;0,3;0
;;Afrikaanderwijk;0,5;1,7;1,4;0;0,3
;;Feijenoord;0,9;0;0,4;0;0,3
;;Noordereiland;0,5;0;0;0;0
;;Feijenoord;0,6;0,9;0,3;0,4;0,2
;;Rotterdam;0,5;0,5;0,3;0,2;0,2

;;slachtofferschap tasjesroof zonder geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;1;1,9;0,8;0,9;0,5
;;Vreewijk;0,9;1,7;0,7;1,6;1,4
;;Bloemhof;2,1;2,3;1,7;1,4;1,6
;;Hillesluis;1,2;5,1;1,1;2;0,8
;;Katendrecht;2,2;1,3;1,3;0,8;0,8
;;Afrikaanderwijk;2,4;4,5;2,7;0,4;1,4
;;Feijenoord;0;2,6;1,6;0,7;0,9
;;Noordereiland;0,5;1,4;0,6;1,1;1,1
;;Feijenoord;1,3;2,8;1,4;1,2;1,1
;;Rotterdam;1,3;1,3;1,3;1,2;1,2

;;slachtofferschap bedreiging met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;3,5;3,8;4;2,9;2,9
;;Vreewijk;3,6;6;2,7;2,6;6,7
;;Bloemhof;2,5;4,4;4,3;7,2;5,6
;;Hillesluis;4,4;5,7;2,7;4,9;3,9
;;Katendrecht;3,9;0,7;1,9;2,4;2,7
;;Afrikaanderwijk;2,5;0,5;3,1;4,1;2,7
;;Feijenoord;4;2,3;0,6;4,9;2,5
;;Noordereiland;4,1;0,7;5,3;1,8;5,1
;;Feijenoord;3,4;3,7;2,9;3;4,3
;;Rotterdam;2,8;2,6;2,8;2,9;3,1

;;slachtofferschap mishandeling;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;0;0;1,2;0,5;0,7
;;Vreewijk;0,8;0,6;0,5;0,5;0,8
;;Bloemhof;0;0,6;0,8;1,1;1,6;;;;;
;;Hillesluis;0;1,1;0,5;0,5;0,6;;;;;
;;Katendrecht;1,4;0;0;0,4;0,6;;;;;
;;Afrikaanderwijk;0;0;1,4;0,9;0,6;;;;;
;;Feijenoord;0;1,4;1,4;0,9;0,8;;;;;
;;Noordereiland;0;0;0,5;0,3;1,3;;;;;
;;Feijenoord;0,2;0,5;0,8;0,7;0,9;;;;;
;;Rotterdam;0,4;0,5;0,8;0,4;0,8;;;;;

;;1.4.1 aangiften zedenmisdrijven;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;1;2;1;2;1;0,1;0,3;0,1;0,3;0,1
;;Vreewijk;12;14;6;12;12;0,9;1;0,4;0,9;0,9
;;Bloemhof;11;11;6;8;3;0,8;0,8;0,5;0,6;0,2
